"guildID","channelID","msgID","hostID","endtime","winners","nachrichten","level","rollenID","status","preis"
"925729625580113951","971092445435682907","1009865392048590861","824378909985341451","1660841131",1,,,,Inaktiv,test 2
"925729625580113951","971092445435682907","1009867168575397989","824378909985341451","1660841555",1,,,,Inaktiv,test 1
"925729625580113951","971092445435682907","1009867191346286603","824378909985341451","1660841560",1,,,,Inaktiv,test 2
"973289734057132092","1009371064511496213","1010101169646997504","944309381720334417","1660983685",2,,,,Inaktiv,"1000 🔮"
"993465450484731925","1003689115394510888","1010633809600979044","823534232525471784","1661197076",1,,,,Inaktiv,Custom Casiono Item
"925729625580113951","925739069391114240","1011234702935466105","824378909985341451","1661167601",1,1,8,"925737344412291122",Inaktiv,test
"964485182637871104","964485719240343583","1011635408242753576","963303356443529246","1661353136",1,1,1,"964485688303169576",Inaktiv,"1 stunde spaß hahahahaha"
"925729625580113951","971092445435682907","1011704884074127430","824378909985341451","1661279700",1,1,,,Inaktiv,test banner embed dm
"903725994907693096","1007349723763585146","1011964609139331082","809739434537910283","1662551164",1,200,,,Inaktiv,"1x Nitro mit Boosts (10€ Version"
"903725994907693096","1007349723763585146","1011966074251661403","809739434537910283","1662551513",1,,,,Inaktiv,"1x Nitro Boosts [10€ Version"
"931905307314114641","1011369258938282006","1012042513885958144","795649762183348245","1662655237",1,1000,,,Inaktiv,"10Euro discord nitro edition"
"948595942448320653","993587068485775501","1012256052202438686","948565546742452284","1661756649",2,10,,,Inaktiv,Serverbanner Nutzerprofiel oder irgendsowas
"1011598256322654359","1011598256322654362","1012379377041948782","884015117019271168","1662650052",1,,,,Aktiv,"100000"
"993465450484731925","1003689115394510888","1012708854217318422","823534232525471784","1661605406",1,,,,Inaktiv,"1000 Casino Cash"
"991083033341886524","991083033341886527","1012969113754280066","593450283510792213","1661581116",1,,,"991358171836850306",Inaktiv,Gold Rangg
"937793977892077668","966611494219423774","1013045603271446538","915266458588688435","1661685693",1,200,,,Inaktiv,VIP
"993887751785168906","1013056861433503835","1013057454839447572","775433367595909129","1661603918",1,,,"1011360945626415204",Inaktiv,Moderator
"993887751785168906","1013056861433503835","1013057775863074827","775433367595909129","1661603995",1,,,"994321633516998696",Inaktiv,<@&1011360945626415204>
"937793977892077668","966611494219423774","1013419433584250940","775433367595909129","1661774821",1,25,,,Inaktiv,VIP
"1003987205196361728","1003987205934546971","1013473441858461696","593450283510792213","1661702197",1,,,,Inaktiv,"1x Uraniumkiste"
"768228694736371732","1010514387708162119","1013475447251669144","683055422650974448","1661701835",1,2,0,,Inaktiv,<@678344927997853742>
"768228694736371732","1010514387708162119","1013475770464739419","683055422650974448","1661701913",1,,,,Inaktiv,@everyone
"994332164768403596","997040661285064714","1013485837507379210","989404318086094898","1661963453",1,,,"994464866947567726",Inaktiv,<@&998856475390771250>
"683059539054297159","1013490443578790059","1013503916916363335","683055422650974448","1661881363",1,,,,Inaktiv,<@&683437701956894757>
"683059539054297159","1013490443578790059","1013522232313651282","683055422650974448","1661972130",1,,,,Inaktiv,"Premium Rang auf unserem Server GamingLounge

Wir wünschen allen Teilnehmern viel Erfolg 🍀"
"1009124566544695357","1011647876029485076","1013584786826199161","899977967042715700","1661802544",1,,,,Inaktiv,"1x Eine Eigene Server-Rolle"
"1013574681703485530","1013575408391819305","1013768887587831858","933350026141380708","1661771797",1,,,,Inaktiv,kekse
"986322560532758579","1013088566856925256","1013785033045188650","770223395035283466","1661865647",1,2,,,Inaktiv,nichts
"1003987205196361728","1003987205934546971","1013853282491441212","593450283510792213","1661791918",1,,,,Inaktiv,test
"1009496911348256799","1009875008895586305","1014143942826139668","806833335933861888","1661861217",1,,,,Inaktiv,Test
"1003987205196361728","1003987205934546971","1014174343271555162","593450283510792213","1661868465",1,,,,Inaktiv,"10 Uraniumkiste"
"1003987205196361728","1003987205934546971","1014174970668122222","593450283510792213","1661868615",1,,,,Inaktiv,"5 Uraniumkiste"
"1003987205196361728","1003987205934546971","1014175450194522193","593450283510792213","1661868729",1,,,,Inaktiv,"15 Monatskisten"
"1003987205196361728","1003987205934546971","1014176126396010596","593450283510792213","1661868890",1,,,,Inaktiv,"30 Mio"
"1003987205196361728","1003987205934546971","1014177195129847958","593450283510792213","1661869145",1,,,,Inaktiv,Max Bauhacke
"1014183330893275287","1014183330893275290","1014183998207049758","899271873022545921","1662482707",1,,,,Aktiv,Premium Lifetime
"775145940020887572","1006655786333782118","1014185134964080731","899271873022545921","1662475778",1,,,,Inaktiv,"1x Premium"
"1003987205196361728","1003987205934546971","1014191999513014282","593450283510792213","1661872675",1,,,,Inaktiv,Diarand/Emeraldrand
"1014116444897804408","1014121564242976828","1014231275827105943","1008975489962082374","1662054779",1,10,3,"1014116444897804416",Inaktiv,VIP
"1014116444897804408","1014121564242976828","1014232118798332029","1008975489962082374","1662054980",1,10,3,,Inaktiv,VIP
"918191764312051793","987675343764725791","1014238204922167376","785059784604778496","1662315631",1,1,,"918194116431577089",Inaktiv,"1x Exklusives ""Tower of Fantasy""-Avatarpaket"
"1003987205196361728","1003987205934546971","1014240624599375872","593450283510792213","1661886008",1,,,,Inaktiv,ein  Baum
"925729625580113951","925736845436915712","1014244245428777061","824378909985341451","1662317071",2,3,,"962753309997932554",Inaktiv,Wunschsystem
"948595942448320653","993587068485775501","1014402308106366996","948565546742452284","1662354756",1,15,2,,Aktiv,"1 Sub auf meinem Kanal"
"1014445347713593354","1014465484298661888","1014465840038563891","525974888750645249","1661938804",1,5,,,Inaktiv,"10 fake euro lol"
"948595942448320653","1014574224221937765","1014796033173237810","948565546742452284","1662275828",1,20,,,Inaktiv,"1 Twtich Sub auf meinem Kanal"
"1014445347713593354","1014465484298661888","1014989670049923092","525974888750645249","1662120394",3,10,,,Inaktiv,"50 LokPoints"
"1014116444897804408","1014121564242976828","1015140355290710037","1008975489962082374","1662120321",1,,,,Inaktiv,اموګس
"1014116444897804408","1014121564242976828","1015167565741428767","1008975489962082374","1662106108",1,,,,Inaktiv,MOD
